ID,Season,Race,Overtakes,TV,Percentage
661,2019,Japan,58,25,43.1
662,2019,Mexico,46,20,43.48
663,2019,USA,61,27,44.26
664,2019,Brazil,71,24,33.8
665,2019,Abu Dhabi,37,21,56.76
666,2019,Season,949,447,47.1
667,2020,Austria,29,17,58.62
668,2020,Styria,49,31,63.27
669,2020,Hungary,44,23,52.27
670,2020,Great Britain,26,17,65.38
671,2020,70th Anniversary,29,16,55.17
672,2020,Spain,32,16,50.0
673,2020,Belgium,32,21,65.63
674,2020,Italy,36,25,69.44
675,2020,Tuscany,19,16,84.21
676,2020,Russia,31,25,80.65
677,2020,Eifel,41,23,56.1
678,2020,Portugal,69,38,55.07
679,2020,Emilia-Romagna,10,8,80.0
680,2020,Turkey,42,23,54.76
681,2020,Bahrain,54,36,66.67
682,2020,Sakhir,51,31,60.78
683,2020,Abu Dhabi,34,22,64.71
684,2020,Season,628,388,61.78
685,2021,Bahrain,75,42,56.0
686,2021,Emilia-Romagna,42,28,66.67
687,2021,Portugal,45,29,64.44
688,2021,Spain,51,28,54.9
689,2021,Monaco,0,0,0.0
690,2021,Azerbaijan,27,16,59.26
691,2021,France,60,33,55.0
692,2021,Styria,24,14,58.33
693,2021,Austria,38,15,39.47
694,2021,GB Sprint,10,5,50.0
695,2021,Great Britain,29,17,58.62
696,2021,Hungary,17,16,94.12
697,2021,Belgium,0,0,0.0
698,2021,Netherlands,24,13,54.17
699,2021,Italy Sprint,9,4,44.44
700,2021,Italy,23,17,73.91
701,2021,Russia,94,24,25.53
702,2021,Turkey,26,16,61.54
703,2021,USA,32,12,37.5
704,2021,Mexico,23,11,47.83
705,2021,Brazil Sprint,17,12,70.59
706,2021,Brazil,65,24,36.92
707,2021,Qatar,49,30,61.22
708,2021,Saudi Arabia,27,15,55.56
709,2021,Abu Dhabi,36,17,47.22
710,2021,Season,807,417,51.67
711,2022,Bahrain,78,36,46.15
712,2022,Saudi Arabia,32,21,65.63
713,2022,Australia,34,20,58.82
714,2022,Emilia-Romagna Sprint,18,11,61.11
715,2022,Emilia-Romagna,23,16,69.57
716,2022,Miami,52,26,50.0
717,2022,Spain,48,28,58.33
718,2022,Monaco,13,2,15.38
719,2022,Azerbaijan,23,18,78.26
720,2022,Canada,35,22,62.86
721,2022,Great Britain,31,17,54.84
722,2022,Austria Sprint,22,9,40.91
723,2022,Austria,67,42,62.69
724,2022,France,33,19,57.58
725,2022,Hungary,61,31,50.82
726,2022,Belgium,74,44,59.46
727,2022,Netherlands,23,18,78.26
728,2022,Italy,58,32,55.17
