ID,Team,Delta,Year,Session,Track
208,Williams,0.934040590405904,2023,10,Silverstone
209,Williams,3.0127008576015872,2023,11,Budapest
210,Williams,,2023,12,Spa
211,Williams,,2023,13,Zandvoort
212,Williams,0.5803671507211,2023,14,Monza
213,Williams,1.850874879099622,2023,15,Singapore
214,Williams,1.867749811537293,2023,16,Suzuka
215,Williams,2.30251378643558,2023,17,Qatar
216,Williams,1.6860575603370005,2023,18,COTA
217,Williams,1.4721509473084002,2023,19,Mexico
218,Williams,0.8568857914054355,2023,20,Brazil
219,Williams,0.6438323663265967,2023,21,Vegas
220,Williams,1.0222302115165678,2023,22,Abu Dhabi
