resultId,raceId,driverId,constructorId,driverCurrentNumber,grid,positionOrder,positionText,position,points,laps,totalRaceTime,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24766,1038,846,1,4.0,6,4.0,4,4,12.0,53,+6.000,6432056.0,50.0,7.0,1:24.232,247.587,1
24767,1038,822,131,77.0,2,5.0,5,5,10.0,53,+7.108,6433164.0,51.0,5.0,1:23.961,248.386,1
24768,1038,817,4,3.0,7,6.0,6,6,8.0,53,+8.391,6434447.0,38.0,4.0,1:23.898,248.573,1
24769,1038,1,131,44.0,1,7.0,7,7,7.0,53,+17.245,6443301.0,34.0,1.0,1:22.746,252.033,1
24770,1038,839,4,31.0,12,8.0,8,8,4.0,53,+18.691,6444747.0,52.0,11.0,1:24.490,246.831,1
24771,1038,826,213,26.0,11,9.0,9,9,2.0,53,+22.208,6448264.0,44.0,10.0,1:24.479,246.863,1
24772,1038,815,211,11.0,4,10.0,10,10,1.0,53,+23.224,6449280.0,50.0,8.0,1:24.336,247.282,1
24773,1038,849,3,6.0,20,11.0,11,11,0.0,53,+32.876,6458932.0,39.0,16.0,1:24.999,245.353,1
24774,1038,154,210,8.0,16,12.0,12,12,0.0,53,+35.164,6461220.0,48.0,12.0,1:24.785,245.972,1
24775,1038,8,51,7.0,14,13.0,13,13,0.0,53,+36.312,6462368.0,29.0,13.0,1:24.835,245.827,1
24776,1038,847,3,63.0,19,14.0,14,14,0.0,53,+36.593,6462649.0,39.0,9.0,1:24.421,247.033,1
24777,1038,848,9,23.0,9,15.0,15,15,0.0,53,+37.533,6463589.0,48.0,15.0,1:24.926,245.564,1
24778,1038,841,51,99.0,18,16.0,16,16,0.0,53,+55.199,6481255.0,43.0,14.0,1:24.856,245.766,1
24779,1038,830,9,33.0,5,,R,17,0.0,30,,,10.0,17.0,1:25.539,243.804,131
24780,1038,844,6,16.0,13,,R,18,0.0,23,,,19.0,19.0,1:26.026,242.424,3
24781,1038,825,210,20.0,15,,R,19,0.0,17,,,10.0,18.0,1:25.787,243.099,131
24782,1038,20,6,5.0,17,,R,20,0.0,6,,,4.0,20.0,1:27.107,239.415,23
24783,1039,1,131,44.0,1,1.0,1,1,26.0,59,2:19:35.060,8375060.0,58.0,1.0,1:18.833,239.518,1
24784,1039,822,131,77.0,2,2.0,2,2,18.0,59,+4.880,8379940.0,53.0,2.0,1:19.432,237.712,1
24785,1039,848,9,23.0,4,3.0,3,3,15.0,59,+8.064,8383124.0,51.0,3.0,1:20.039,235.909,1
24786,1039,817,4,3.0,8,4.0,4,4,12.0,59,+10.417,8385477.0,57.0,4.0,1:20.426,234.774,1
24787,1039,815,211,11.0,7,5.0,5,5,10.0,59,+15.650,8390710.0,59.0,5.0,1:20.632,234.175,1
24788,1039,846,1,4.0,11,6.0,6,6,8.0,59,+18.883,8393943.0,59.0,7.0,1:21.198,232.542,1
24789,1039,826,213,26.0,12,7.0,7,7,6.0,59,+21.756,8396816.0,51.0,10.0,1:21.458,231.8,1
24790,1039,844,6,16.0,5,8.0,8,8,4.0,59,+28.345,8403405.0,50.0,9.0,1:21.229,232.453,1
24791,1039,8,51,7.0,13,9.0,9,9,2.0,59,+29.770,8404830.0,59.0,6.0,1:21.164,232.64,1
24792,1039,20,6,5.0,14,10.0,10,10,1.0,59,+29.983,8405043.0,59.0,8.0,1:21.202,232.531,1
24793,1039,847,3,63.0,18,11.0,11,11,0.0,59,+32.404,8407464.0,58.0,11.0,1:21.645,231.269,1
24794,1039,154,210,8.0,15,12.0,12,12,0.0,59,+42.036,8417096.0,59.0,13.0,1:22.263,229.532,1
24795,1039,840,211,18.0,6,,R,13,0.0,42,,,42.0,12.0,1:22.068,230.077,29
24796,1039,839,4,31.0,10,,R,14,0.0,7,,,6.0,15.0,2:11.793,143.27,23
24797,1039,849,3,6.0,19,,R,15,0.0,6,,,6.0,14.0,2:11.365,143.736,4
24798,1039,825,210,20.0,20,,R,16,0.0,5,,,4.0,17.0,2:13.812,141.108,4
24799,1039,841,51,99.0,17,,R,17,0.0,5,,,4.0,16.0,2:13.809,141.111,4
24800,1039,832,1,55.0,9,,R,18,0.0,5,,,5.0,18.0,2:14.103,140.802,4
24801,1039,830,9,33.0,3,,R,19,0.0,0,,,,0.0,,,4
24802,1039,842,213,10.0,16,,R,20,0.0,0,,,,0.0,,,4
24803,1040,822,131,77.0,3,1.0,1,1,26.0,53,1:34:00.364,5640364.0,51.0,1.0,1:37.030,216.972,1
24804,1040,830,9,33.0,2,2.0,2,2,18.0,53,+7.729,5648093.0,53.0,3.0,1:37.332,216.298,1
24805,1040,1,131,44.0,1,3.0,3,3,15.0,53,+22.729,5663093.0,48.0,7.0,1:38.075,214.66,1
