qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
287,15,18,23,22,7,1:31.041,1:30.880,1:32.962
288,15,8,6,4,8,1:31.288,1:31.052,1:32.980
289,15,5,1,2,9,1:31.499,1:31.223,\N
290,15,67,5,12,10,1:31.196,1:31.103,\N
291,15,3,3,16,11,1:31.286,1:31.482,\N
292,15,4,4,7,12,1:31.401,1:31.638,\N
293,15,9,2,5,13,1:31.417,1:32.341,\N
294,15,10,7,10,14,1:31.550,\N,\N
295,15,153,5,11,15,1:31.571,\N,\N
296,15,21,6,3,16,1:31.704,\N,\N
297,15,6,3,17,17,1:31.718,\N,\N
298,15,154,4,8,18,1:32.073,\N,\N
299,15,24,10,21,19,1:32.087,\N,\N
300,15,17,9,14,20,\N,\N,\N
301,16,22,23,23,1,1:24.100,1:21.659,1:19.576
302,16,17,9,14,2,1:24.722,1:20.803,1:19.668
303,16,16,10,20,3,1:24.447,1:20.753,1:19.912
304,16,15,7,9,4,1:24.621,1:20.635,1:20.097
305,16,8,6,4,5,1:23.047,1:21.378,1:20.168
306,16,67,5,12,6,1:24.591,1:20.701,1:20.250
307,16,3,3,16,7,1:22.828,1:20.368,1:20.326
308,16,9,2,5,8,1:23.072,1:21.147,1:20.631
309,16,6,3,17,9,1:23.161,1:20.427,1:20.674
310,16,4,4,7,10,1:24.842,1:21.657,1:21.422
311,16,155,7,10,11,1:24.335,1:21.960,\N
312,16,153,5,11,12,1:24.773,1:22.231,\N
313,16,154,4,8,13,1:24.394,1:22.477,\N
314,16,18,23,22,14,1:24.297,1:22.504,\N
315,16,24,10,21,15,1:24.645,\N,\N
316,16,20,9,15,16,1:25.009,\N,\N
317,16,5,1,2,17,1:25.052,\N,\N
318,16,1,1,1,18,1:25.192,\N,\N
319,16,2,2,6,19,1:25.515,\N,\N
320,16,21,6,3,20,1:40.703,\N,\N
321,17,1,1,1,1,1:39.873,1:39.695,1:40.948
322,17,20,9,15,2,1:40.666,1:39.984,1:41.615
323,17,17,9,14,3,1:40.667,1:40.272,1:41.726
324,17,22,23,23,4,1:40.574,1:40.421,1:41.786
325,17,18,23,22,5,1:40.378,1:40.148,1:41.892
326,17,15,7,9,6,1:40.517,1:40.373,1:41.897
327,17,9,2,5,7,1:40.520,1:40.545,1:41.992
328,17,2,2,6,8,1:40.558,1:40.635,1:42.343
329,17,3,3,16,9,1:40.842,1:40.661,1:42.583
330,17,67,5,12,10,1:40.908,1:40.430,1:42.713
331,17,8,6,4,11,1:41.100,1:40.726,\N
332,17,155,7,10,12,1:41.035,1:40.777,\N
333,17,5,1,2,13,1:40.808,1:40.983,\N
334,17,6,3,17,14,1:41.096,1:41.148,\N
335,17,153,5,11,15,1:41.503,1:41.689,\N
336,17,4,4,7,16,1:41.667,\N,\N
337,17,24,10,21,17,1:41.701,\N,\N
338,17,16,10,20,18,1:41.836,\N,\N
339,17,154,4,8,19,1:41.950,\N,\N
340,17,21,6,3,20,1:42.184,\N,\N
341,18,1,1,22,1,1:26.572,1:25.187,1:26.714
342,18,9,2,4,2,1:26.103,1:25.315,1:26.869
343,18,5,1,23,3,1:25.664,1:25.452,1:27.079
344,18,13,6,2,4,1:25.994,1:25.691,1:27.178
345,18,2,2,3,5,1:25.960,1:25.518,1:27.236
346,18,15,7,11,6,1:26.427,1:26.101,1:28.527
347,18,3,3,7,7,1:26.295,1:26.059,1:28.687
348,18,14,9,9,8,1:26.381,1:26.063,1:29.041
349,18,10,7,12,9,1:26.919,1:26.164,1:29.593
